phenocam_name,direction,threshold,date,original_transition_date,period,image_filename,snow_flag,running_tally,site_seq_id
arsgacp1,rising,transition_10,2018-05-28,NA,growing,arsgacp1_2018_05_28_120000.jpg,NA,674,1
arsgacp1,rising,transition_10,2019-08-18,NA,growing,arsgacp1_2019_08_18_120000.jpg,NA,203,3
arsgacp1,rising,transition_25,2017-06-10,NA,growing,arsgacp1_2017_06_10_120000.jpg,NA,322,1
arsgacp1,rising,transition_10,2016-08-25,NA,growing,arsgacp1_2016_08_25_120000.jpg,NA,33,1
arsgacp1,rising,transition_25,2016-09-04,NA,growing,arsgacp1_2016_09_04_120000.jpg,NA,43,1
arsgacp1,rising,transition_10,2020-06-10,NA,growing,arsgacp1_2020_06_10_120000.jpg,NA,194,4
arsgacp1,rising,transition_25,2016-09-02,NA,growing,arsgacp1_2016_09_02_120000.jpg,NA,41,1
arsgacp1,rising,transition_25,2019-08-20,TRUE,growing,arsgacp1_2019_08_20_120000.jpg,NA,205,3
arsgacp1,rising,transition_25,2020-06-19,NA,growing,arsgacp1_2020_06_19_120000.jpg,NA,203,4
arsgacp1,rising,transition_10,2019-08-19,NA,growing,arsgacp1_2019_08_19_120000.jpg,NA,204,3
arsgacp1,rising,transition_25,2020-01-11,NA,growing,arsgacp1_2020_01_11_120000.jpg,NA,43,4
arsgacp1,rising,transition_10,2018-01-24,NA,growing,arsgacp1_2018_01_24_120000.jpg,NA,550,1
arsgacp1,rising,transition_25,2020-01-10,TRUE,growing,arsgacp1_2020_01_10_120000.jpg,NA,42,4
arsgacp1,rising,transition_10,2020-01-09,TRUE,growing,arsgacp1_2020_01_09_120000.jpg,NA,41,4
arsgacp1,rising,transition_25,2017-02-12,NA,growing,arsgacp1_2017_02_12_120000.jpg,NA,204,1
arsgacp1,rising,transition_25,2017-06-13,NA,growing,arsgacp1_2017_06_13_120000.jpg,NA,325,1
arsgacp1,rising,transition_10,2018-06-05,NA,growing,arsgacp1_2018_06_05_120000.jpg,NA,682,1
arsgacp1,rising,transition_10,2018-06-01,NA,growing,arsgacp1_2018_06_01_120000.jpg,NA,678,1
arsgacp1,rising,transition_10,2018-06-02,NA,growing,arsgacp1_2018_06_02_120000.jpg,NA,679,1
arsgacp1,rising,transition_10,2018-06-08,NA,growing,arsgacp1_2018_06_08_120001.jpg,NA,685,1
arsgacp1,rising,transition_10,2018-06-04,NA,growing,arsgacp1_2018_06_04_120000.jpg,NA,681,1
arsgacp1,rising,transition_25,2020-06-24,NA,growing,arsgacp1_2020_06_24_120000.jpg,NA,208,4
arsgacp1,rising,transition_25,2016-08-30,TRUE,growing,arsgacp1_2016_08_30_120000.jpg,NA,38,1
arsgacp1,rising,transition_25,2016-09-01,NA,growing,arsgacp1_2016_09_01_120000.jpg,NA,40,1
arsgacp1,rising,transition_10,2017-02-01,NA,growing,arsgacp1_2017_02_01_120000.jpg,NA,193,1
arsgacp1,rising,transition_25,2018-02-07,NA,growing,arsgacp1_2018_02_07_120000.jpg,NA,564,1
arsgacp1,rising,transition_25,2020-01-12,NA,growing,arsgacp1_2020_01_12_120000.jpg,NA,44,4
arsgacp1,rising,transition_25,2018-06-16,NA,growing,arsgacp1_2018_06_16_120000.jpg,NA,693,1
arsgacp1,rising,transition_25,2017-02-07,NA,growing,arsgacp1_2017_02_07_120000.jpg,NA,199,1
arsgacp1,rising,transition_25,2016-09-05,NA,growing,arsgacp1_2016_09_05_120000.jpg,NA,44,1
arsgacp1,rising,transition_10,2017-01-30,NA,growing,arsgacp1_2017_01_30_120000.jpg,NA,191,1
arsgacp1,rising,transition_10,2018-06-11,NA,growing,arsgacp1_2018_06_11_120000.jpg,NA,688,1
arsgacp1,rising,transition_25,2017-02-09,NA,growing,arsgacp1_2017_02_09_120000.jpg,NA,201,1
arsgacp1,rising,transition_25,2019-08-23,NA,growing,arsgacp1_2019_08_23_120000.jpg,NA,208,3
arsgacp1,rising,transition_25,2019-04-13,NA,growing,arsgacp1_2019_04_13_120000.jpg,NA,76,3
arsgacp1,rising,transition_10,2018-06-03,NA,growing,arsgacp1_2018_06_03_120000.jpg,NA,680,1
arsgacp1,rising,transition_10,2018-05-24,TRUE,growing,arsgacp1_2018_05_24_120000.jpg,NA,670,1
arsgacp1,rising,transition_10,2018-05-26,NA,growing,arsgacp1_2018_05_26_120000.jpg,NA,672,1
arsgacp1,rising,transition_25,2017-02-10,NA,growing,arsgacp1_2017_02_10_120000.jpg,NA,202,1
arsgacp1,rising,transition_25,2018-06-17,NA,growing,arsgacp1_2018_06_17_120000.jpg,NA,694,1
arsgacp1,rising,transition_10,2020-06-09,TRUE,growing,arsgacp1_2020_06_09_120000.jpg,NA,193,4
arsgacp1,rising,transition_10,2019-04-08,TRUE,growing,arsgacp1_2019_04_08_120000.jpg,NA,71,3
arsgacp1,rising,transition_10,2017-06-03,NA,growing,arsgacp1_2017_06_03_120001.jpg,NA,315,1
arsgacp1,rising,transition_25,2020-06-20,NA,growing,arsgacp1_2020_06_20_120001.jpg,NA,204,4
arsgacp1,rising,transition_10,2017-01-31,NA,growing,arsgacp1_2017_01_31_120000.jpg,NA,192,1
arsgacp1,rising,transition_10,2016-08-24,TRUE,growing,arsgacp1_2016_08_24_120000.jpg,NA,32,1
arsgacp1,rising,transition_25,2019-04-11,NA,growing,arsgacp1_2019_04_11_120000.jpg,NA,74,3
arsgacp1,rising,transition_25,2016-09-06,NA,growing,arsgacp1_2016_09_06_120000.jpg,NA,45,1
